area,github_login,total_points,direct_points,meta_only_points,meta_breakdown,in_maintainers_list
activity,laurynmm,4,4,0,,yes
activity,andersk,1,1,0,,yes
admin,apoorvapendse,2,2,0,,yes
admin,sahil839,1,1,0,,yes
alert words,asteriskkkk,2,2,0,,no
alert words,amanagr,1,1,0,,yes
alerts,karlstolley,2,2,0,,yes
all messages data,amanagr,2,2,0,,yes
analytics,laurynmm,2,2,0,,yes
api,laurynmm,45,0,45,"api docs:44,openapi:2",yes
api,alexmv,14,3,11,"openapi:6,api docs:6",yes
api,timabbott,14,1,13,"api docs:8,openapi:6",yes
api docs,laurynmm,44,44,0,,yes
api docs,prakhar1144,10,10,0,,yes
api docs,timabbott,8,8,0,,yes
app,karlstolley,2,2,0,,yes
app,pratik-pc,1,1,0,,yes
attachments,alexmv,3,3,0,,yes
attachments,6829nkhpas,2,2,0,,no
attachments,mateuszmandera,2,2,0,,yes
attachments,shubham-padia,2,2,0,,yes
auth,mateuszmandera,3,3,0,,yes
auth,alexmv,2,2,0,,yes
auth,amanagr,2,2,0,,yes
avatar,prakhar1144,2,2,0,,yes
babel,andersk,2,2,0,,yes
backends,alexmv,2,2,0,,yes
backends,mateuszmandera,2,2,0,,yes
backport all prs,alexmv,2,2,0,,yes
backup,alexmv,2,2,0,,yes
banner,sayamsamal,2,2,0,,no
banner,apoorvapendse,1,1,0,,yes
banners,sayamsamal,6,6,0,,no
banners,karlstolley,2,2,0,,yes
banners,pratik-pc,2,2,0,,yes
banners,sahil839,2,2,0,,yes
banners,shubham-padia,2,2,0,,yes
banners,shuklamaneesh23,2,2,0,,no
base page params,andersk,3,3,0,,yes
billing,amanagr,20,3,17,stripe:17,yes
billing,laurynmm,10,1,9,stripe:9,yes
billing,andersk,5,0,5,stripe:5,yes
bootstrap typeahead,pratik-pc,3,3,0,,yes
bootstrap typeahead,amanagr,1,1,0,,yes
bots,sahil839,9,8,1,settings bots:1,yes
bots,amanagr,2,1,1,settings bots:1,yes
bots,niloth-p,2,1,1,settings bots:1,yes
bots,sathwikshetty33,2,2,0,,no
buddy data,evykassirer,2,2,0,,yes
buddy data,sahil839,2,2,0,,yes
buddy list,evykassirer,7,7,0,,yes
buddy list,showell,4,4,0,,no
buddy list,karlstolley,3,3,0,,yes
bug,vector73,2,2,0,,no
bug,sahil839,1,1,0,,yes
build emoji,andersk,2,2,0,,yes
build pgroonga,andersk,2,2,0,,yes
buttons,sahil839,5,5,0,,yes
buttons,shuklamaneesh23,5,5,0,,no
buttons,sayamsamal,3,3,0,,no
cache,alexmv,3,3,0,,yes
cache,sahil839,1,1,0,,yes
channel create,sahil839,4,4,0,,yes
channel create,timabbott,3,3,0,,yes
channel create,laurynmm,2,2,0,,yes
channel data,evykassirer,2,2,0,,yes
channel data,prakhar1144,1,1,0,,yes
channel events,amanagr,3,3,0,,yes
channel events,aadithya-j,2,2,0,,no
channel events,evykassirer,2,2,0,,yes
channel folders,sahil839,15,15,0,,yes
channel folders,evykassirer,6,6,0,,yes
channel folders,pratik-pc,5,5,0,,yes
channel list,evykassirer,27,24,3,channel list sort:4,yes
channel list,amanagr,19,16,3,channel list sort:3,yes
channel list,karlstolley,4,4,0,,yes
channel list,sahil839,4,4,0,,yes
channel list sort,evykassirer,4,4,0,,yes
channel list sort,amanagr,3,3,0,,yes
channel list sort,kuv2707,2,2,0,,no
channel list sort,laurynmm,2,2,0,,yes
channel list sort,shuklamaneesh23,2,2,0,,no
channel popover,amanagr,3,3,0,,yes
channel popover,sahil839,3,3,0,,yes
channel popover,vector73,3,3,0,,no
channel settings,sahil839,42,42,0,,yes
channel settings,vector73,7,7,0,,no
channel settings,pieterck,4,4,0,,yes
channels,sahil839,77,28,49,"channel settings:42,channel folders:15,channel create:4,channel list:4,channel popover:3,channel privacy:1,channel events:1,channel data:1,channel edit:1",yes
channels,evykassirer,43,5,38,"channel list:24,channel folders:6,channel list sort:4,channel data:2,channel events:2,channel settings:2,channel create:1",yes
channels,amanagr,31,3,28,"channel list:16,channel popover:3,channel list sort:3,channel folders:3,channel events:3,channel settings:1",yes
checks,alexmv,7,7,0,,yes
checks,mateuszmandera,1,1,0,,yes
ci,alexmv,2,2,0,,yes
click,apoorvapendse,2,2,0,,yes
click,amanagr,1,1,0,,yes
common,amanagr,2,2,0,,yes
components,evykassirer,2,2,0,,yes
components,sahil839,1,1,0,,yes
compose,amanagr,36,18,18,"compose ui:4,compose typeahead:4,compose validate:4,compose reply:4,compose recipient:3,compose send menu popover:2,compose notifications:2,compose paste:2,compose setup:2,compose banner:2,compose state:1,compose actions:1",yes
compose,karlstolley,25,22,3,"compose typeahead:1,compose paste:1,compose reply:1,compose ui:1",yes
compose,evykassirer,21,10,11,"compose recipient:3,compose actions:3,compose typeahead:2,compose state:2,compose ui:2,compose validate:1,compose setup:1,compose send menu popover:1",yes
compose actions,evykassirer,3,3,0,,yes
compose actions,amanagr,1,1,0,,yes
compose banner,sahil839,3,3,0,,yes
compose banner,amanagr,2,2,0,,yes
compose call,laurynmm,2,2,0,,yes
compose call,apoorvapendse,1,1,0,,yes
compose notifications,amanagr,2,2,0,,yes
compose paste,apoorvapendse,6,6,0,,yes
compose paste,kuv2707,3,3,0,,no
compose paste,amanagr,2,2,0,,yes
compose recipient,amanagr,3,3,0,,yes
compose recipient,evykassirer,3,3,0,,yes
compose recipient,sahil839,3,3,0,,yes
compose reply,amanagr,4,4,0,,yes
compose reply,pieterck,2,2,0,,yes
compose send menu popover,amanagr,2,2,0,,yes
compose send menu popover,andersk,2,2,0,,yes
compose setup,amanagr,2,2,0,,yes
compose setup,evykassirer,1,1,0,,yes
compose state,evykassirer,2,2,0,,yes
compose state,amanagr,1,1,0,,yes
compose typeahead,pratik-pc,6,6,0,,yes
compose typeahead,amanagr,4,4,0,,yes
compose typeahead,apoorvapendse,2,2,0,,yes
compose typeahead,evykassirer,2,2,0,,yes
compose typeahead,kuv2707,2,2,0,,no
compose ui,amanagr,4,4,0,,yes
compose ui,evykassirer,2,2,0,,yes
compose validate,sahil839,5,5,0,,yes
compose validate,amanagr,4,4,0,,yes
compose validate,vector73,2,2,0,,no
condenser,pieterck,2,2,0,,yes
condenser,amanagr,1,1,0,,yes
config error,alexmv,2,2,0,,yes
contributor docs,alya,21,21,0,,yes
contributor docs,gnprice,3,3,0,,yes
copy messages,apoorvapendse,5,5,0,,yes
copy messages,amanagr,2,2,0,,yes
copy messages,whilstsomebody,2,2,0,,no
copy paste,karlstolley,2,2,0,,yes
copy paste,amanagr,1,1,0,,yes
corporate,laurynmm,13,13,0,,yes
corporate,amanagr,4,4,0,,yes
creator details,andersk,2,2,0,,yes
creator details,sahil839,1,1,0,,yes
css,karlstolley,16,16,0,,yes
css,pratik-pc,15,15,0,,yes
css,sahil839,13,13,0,,yes
custom emails,alexmv,2,2,0,,yes
custom profile fields,sahil839,10,10,0,,yes
custom profile fields,yo-whats-up2,4,4,0,,no
dark theme,sayamsamal,6,6,0,,no
dark theme,karlstolley,2,2,0,,yes
delete in topic,mateuszmandera,2,2,0,,yes
demo orgs,laurynmm,27,27,0,,yes
dependencies,andersk,42,16,26,requirements:26,yes
dependencies,alexmv,17,3,14,requirements:14,yes
desktop notification,prakhar1144,2,2,0,,yes
desktop notification,pratik-pc,1,1,0,,yes
devices,prakhar1144,2,2,0,,yes
dialog widget,sahil839,4,4,0,,yes
dialog widget,apoorvapendse,1,1,0,,yes
digest,prakhar1144,3,3,0,,yes
digest,sahil839,1,1,0,,yes
direct messages,amanagr,6,0,6,dm list:6,yes
direct messages,mreza-kiani,5,5,0,,no
direct messages,alexmv,4,4,0,,yes
dm list,amanagr,6,6,0,,yes
dm list,evykassirer,3,3,0,,yes
dm list,karlstolley,2,2,0,,yes
dm list,shubham-padia,2,2,0,,yes
docs,laurynmm,73,25,48,"api docs:44,integration docs:5",yes
docs,alexmv,37,30,7,"api docs:6,contributor docs:1",yes
docs,alya,32,9,23,"contributor docs:21,api docs:2",yes
drafts,amanagr,5,5,0,,yes
drafts,evykassirer,4,4,0,,yes
drafts,pritesh-30,3,3,0,,no
drafts,sahil839,3,3,0,,yes
dropdown,sahil839,5,5,0,,yes
dropdown,shubham-padia,4,4,0,,yes
dropdown,amanagr,3,3,0,,yes
dropdown,karlstolley,3,3,0,,yes
echo,evykassirer,3,3,0,,yes
echo,amanagr,2,2,0,,yes
email,alexmv,23,2,21,"email mirror:13,send email:9,email backends:1",yes
email,prakhar1144,8,3,5,"email notifications:3,email mirror:2",yes
email,timabbott,4,0,4,"email mirror:2,send email:2,email notifications:1",yes
email mirror,alexmv,13,13,0,,yes
email mirror,prakhar1144,2,2,0,,yes
email mirror,rotempasharel1,2,2,0,,no
email notifications,prakhar1144,3,3,0,,yes
email notifications,amanagr,1,1,0,,yes
email senders,alexmv,2,2,0,,yes
emoji,alexmv,8,4,4,"realm emoji:4,emoji frequency:1",yes
emoji,apoorvapendse,6,1,5,"emoji frequency:5,realm emoji:1",yes
emoji,amanagr,5,5,0,,yes
emoji frequency,apoorvapendse,5,5,0,,yes
emoji frequency,alexmv,1,1,0,,yes
empty feed notice,apoorvapendse,2,2,0,,yes
empty feed notice,whilstsomebody,2,2,0,,no
env wal g,alexmv,2,2,0,,yes
env wal g,andersk,1,1,0,,yes
eslint,andersk,12,12,0,,yes
event queue,prakhar1144,3,3,0,,yes
event queue,alexmv,1,1,0,,yes
event types,andersk,4,4,0,,yes
events,evykassirer,8,3,5,"server events:3,message events:2,server events dispatch:2,channel events:2",yes
events,sahil839,8,4,4,"user events:2,server events dispatch:1,channel events:1",yes
events,amanagr,7,2,5,"channel events:3,user events:1,message events:1",yes
events,andersk,7,1,6,"event types:4,server events:1,server events dispatch:1",yes
export,alexmv,12,12,0,,yes
export,mateuszmandera,6,6,0,,yes
export,pieterck,4,4,0,,yes
export search,alexmv,2,2,0,,yes
export search,mateuszmandera,1,1,0,,yes
external accounts,niloth-p,2,2,0,,yes
external accounts,sahil839,1,1,0,,yes
filter,amanagr,16,16,0,,yes
filter,evykassirer,8,8,0,,yes
filter,pratik-pc,7,7,0,,yes
find account,alexmv,2,2,0,,yes
find account,amanagr,1,1,0,,yes
fix,shash-hq,2,2,0,,no
folders,sahil839,3,3,0,,yes
forms,laurynmm,4,4,0,,yes
forms,alexmv,2,2,0,,yes
forms,andersk,2,2,0,,yes
generate integration docs screenshot,niloth-p,3,3,0,,yes
gifs,apoorvapendse,9,9,0,,yes
gifs,alexmv,2,2,0,,yes
gifs,amanagr,2,2,0,,yes
giphy,apoorvapendse,3,3,0,,yes
github,alexmv,4,4,0,,yes
github,alya,3,3,0,,yes
github action,vector73,3,3,0,,no
github actions,vector73,2,2,0,,no
github actions,alexmv,1,1,0,,yes
group settings,sahil839,12,12,0,,yes
groups ui,sahil839,8,8,0,,yes
groups ui,evykassirer,1,1,0,,yes
hash parser,amanagr,2,2,0,,yes
hash parser,evykassirer,1,1,0,,yes
hash util,amanagr,7,7,0,,yes
hash util,evykassirer,4,4,0,,yes
help,alya,94,94,0,,yes
help,laurynmm,89,89,0,,yes
help,shubham-padia,39,39,0,,yes
home,amanagr,2,2,0,,yes
home,alexmv,1,1,0,,yes
hotkey,amanagr,12,12,0,,yes
hotkey,prakhar1144,4,4,0,,yes
i18n,alexmv,21,21,0,,yes
i18n,timabbott,6,6,0,,yes
i18n,andersk,2,2,0,,yes
i18n,sahil839,2,2,0,,yes
icons,aadyot1,4,4,0,,no
icons,karlstolley,3,3,0,,yes
icons,shubham-padia,3,3,0,,yes
import,pieterck,34,8,26,"slack:18,mattermost:8,microsoft teams:7,rocketchat:2",yes
import,mateuszmandera,30,13,17,"slack:13,microsoft teams:6,mattermost:4,rocketchat:1",yes
import,alexmv,24,16,8,"slack:9,rocketchat:6,mattermost:4",yes
inbox,amanagr,43,31,12,inbox ui:15,yes
inbox,karlstolley,15,15,0,,yes
inbox ui,amanagr,15,15,0,,yes
info overlay,pratik-pc,2,2,0,,yes
info overlay,amanagr,1,1,0,,yes
input pill,evykassirer,2,2,0,,yes
input pill,karlstolley,1,1,0,,yes
inputs,karlstolley,3,3,0,,yes
inputs,sayamsamal,3,3,0,,no
install,andersk,35,35,0,,yes
install,alexmv,9,9,0,,yes
integration docs,niloth-p,11,11,0,,yes
integration docs,laurynmm,5,5,0,,yes
integration url modal,niloth-p,4,4,0,,yes
integration url modal,pieterck,4,4,0,,yes
integration url modal,laurynmm,2,2,0,,yes
integration url modal,sahil839,2,2,0,,yes
integrations,niloth-p,87,40,47,"webhooks:13,integration docs:11,webhooks/github:11,integration url modal:4,webhooks/intercom:4,webhooks/sentry:3,webhooks/gitlab:3,webhooks/jira:3,webhooks/taiga:2,webhooks/notion:2,webhooks/gitea:1,webhooks/pagerduty:1",yes
integrations,laurynmm,33,25,8,"integration docs:5,integration url modal:2,webhooks/sentry:2,webhooks:1,webhooks/github:1,webhooks/gitlab:1,webhooks/jira:1",yes
integrations,sathwikshetty33,15,4,11,"webhooks/intercom:5,integration docs:2,webhooks/notion:2,webhooks/pagerduty:2,webhooks:1",no
invites,alexmv,3,3,0,,yes
invites,mateuszmandera,3,3,0,,yes
invites,sahil839,2,2,0,,yes
invites,sayamsamal,2,2,0,,no
jira,0xthedance,2,2,0,,no
jira,niloth-p,1,1,0,,yes
kandra,alexmv,10,10,0,,yes
keyboard,amanagr,2,2,0,,yes
keyboard,pritesh-30,2,2,0,,no
ldap,mateuszmandera,7,7,0,,yes
ldap,alexmv,2,2,0,,yes
left sidebar,evykassirer,58,38,20,"channel list:24,dm list:3",yes
left sidebar,karlstolley,36,34,2,"channel list:4,dm list:2",yes
left sidebar,amanagr,35,17,18,"channel list:16,dm list:6",yes
letsencrypt,alexmv,3,3,0,,yes
lightbox,karlstolley,4,4,0,,yes
lightbox,roanster007,3,3,0,,no
lightbox,alexmv,2,2,0,,yes
lightbox,amanagr,2,2,0,,yes
lightbox,mreza-kiani,2,2,0,,no
lightbox,prakhar1144,2,2,0,,yes
lightbox,sahil839,2,2,0,,yes
linkifiers,shubham-padia,6,6,0,,yes
links,apoorvapendse,3,3,0,,yes
links,whilstsomebody,2,2,0,,no
list widget,amanagr,2,2,0,,yes
llms txt,hanyucrocks,2,2,0,,no
llms txt,alexmv,1,1,0,,yes
locale,alexmv,2,2,0,,yes
log search,alexmv,3,3,0,,yes
makemessages,andersk,2,2,0,,yes
management,alexmv,2,2,0,,yes
management,pieterck,1,1,0,,yes
markdown,karlstolley,13,13,0,,yes
markdown,alexmv,10,9,1,url encoding:1,yes
markdown,nithyarajmudhaliyar,7,7,0,,no
marketing page,karlstolley,7,7,0,,yes
mattermost,pieterck,8,8,0,,yes
mattermost,alexmv,4,4,0,,yes
mattermost,mateuszmandera,4,4,0,,yes
me messages,karlstolley,2,2,0,,yes
message,amanagr,26,0,26,"message view:8,message edit:5,message edit history:5,message fetch:4,message send:2,messages:1,message feed:1,message events:1,scheduled messages:1",yes
message,alexmv,16,1,15,"message edit:4,message send:3,message cache:2,message view:2,message fetch:2,messages:1,scheduled messages:1",yes
message,timabbott,10,1,9,"message view:3,message edit:3,scheduled messages:1,message send:1,message events:1",yes
message cache,alexmv,2,2,0,,yes
message delete,vector73,2,2,0,,no
message delete,sahil839,1,1,0,,yes
message edit,amanagr,10,5,5,message edit history:5,yes
message edit,alexmv,4,4,0,,yes
message edit,sahil839,4,4,0,,yes
message edit history,amanagr,5,5,0,,yes
message edit history,apoorvapendse,1,1,0,,yes
message events,evykassirer,2,2,0,,yes
message events,amanagr,1,1,0,,yes
message fetch,amanagr,4,4,0,,yes
message fetch,alexmv,2,2,0,,yes
message flags,alexmv,2,2,0,,yes
message flags,amanagr,2,2,0,,yes
message header,apoorvapendse,6,6,0,,yes
message header,amanagr,3,3,0,,yes
message header,karlstolley,2,2,0,,yes
message list,amanagr,3,3,0,,yes
message list,karlstolley,1,1,0,,yes
message list data,amanagr,2,2,0,,yes
message list data,apoorvapendse,1,1,0,,yes
message list view,amanagr,3,3,0,,yes
message list view,laurynmm,2,2,0,,yes
message list view,pratik-pc,2,2,0,,yes
message live update,shubham-padia,2,2,0,,yes
message live update,prakhar1144,1,1,0,,yes
message report,pieterck,5,5,0,,yes
message report,amanagr,1,1,0,,yes
message row,karlstolley,5,5,0,,yes
message row,apoorvapendse,3,3,0,,yes
message row,amanagr,2,2,0,,yes
message scroll,sayamsamal,2,2,0,,no
message send,alexmv,3,3,0,,yes
message send,amanagr,2,2,0,,yes
message store,amanagr,3,3,0,,yes
message store,andersk,3,3,0,,yes
message store,apoorvapendse,3,3,0,,yes
message store,evykassirer,3,3,0,,yes
message util,amanagr,3,3,0,,yes
message util,karlstolley,1,1,0,,yes
